"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.8355286695501384","0.9849594235420227","128.06753919015523","135.05154499965434","0.9698688387870789","133.80732517616423","128.94845337994332","0.9741677641868591","119.32613198274102","128.67454866392424","0.7578965425491333","138.83592792585785","132.19145378180312","0.8589156866073608","110.75734655841504","134.80308870298674","0.9919720888137817","156.8274005565768","170.0428542415653","0.9948030114173889","98.16810757506128","172.87359997234515","0.9885460734367371","178.5305766186683","207.04169619399892","0.9797812700271606","72.35081890829248","205.19354626140765","0.9378917813301086","172.56725834865196","219.27795410156253","0.8714873194694519","81.55324499591504","191.3087881982854","0.9925587177276611","158.42597911560458","276.8788349522954","0.9871204495429993","108.59749987234478","277.60646043625553","0.8210440874099731","142.3208518433415","349.0992939366704","0.8266329169273376","106.07767341962827","348.26430059112283","0.1513809710741043","142.2721035028595","350.14004597621687","0.1149604395031929","110.4822016697304","347.995832325083"
"1","0.833285782705335","0.9813687205314636","127.03946780535131","134.79380379735898","0.9672621488571167","135.79782922283496","130.93116962804206","0.9688335061073303","118.42433555453432","128.42997323095273","0.7646843194961548","138.3712628931781","132.20280470046322","0.8573698997497559","110.13786764705883","134.38009886615046","0.9921497106552124","156.3132531658497","170.72799277516594","0.9948235750198364","97.85059710733252","172.89498928373897","0.9883776307106018","181.8457190819036","204.84146523264658","0.9792999625205994","70.7260311351103","204.94946505116152","0.9411872625350952","172.31223511540034","220.12788755703818","0.8719907402992249","81.98674619587419","190.8765620678927","0.9922964572906494","158.52896497140523","277.90069310011063","0.9873607158660889","108.32875370200163","279.0933416586007","0.8171032071113586","142.53376480800654","349.1222388343474","0.8191666007041931","105.44602736928105","349.104479224281","0.14100190997123718","141.79253472222223","350.6199119365321","0.10158193856477737","109.69735338796978","348.1565114249171"
"2","0.8433695163796929","0.982467532157898","127.0285213694853","134.1149605269981","0.9681230187416077","133.52494383169935","125.46300837423951","0.970740795135498","118.24561025582109","127.50413202606472","0.7404904961585999","138.4177134395425","130.86920544109515","0.8857443332672119","110.87046504799837","133.03630727582274","0.9936915636062622","156.42897263071896","169.72744291862557","0.9947386384010315","99.15342243668302","171.82247735757744","0.9902241826057434","185.96963720383988","210.6040698026134","0.9778744578361511","77.2482559104371","205.90738212112834","0.9430186152458191","171.36460248161765","219.80150610999726","0.8927427530288696","81.59965565002042","196.7918571539685","0.9941266775131226","152.34765944138073","271.95073760716264","0.9836947321891785","103.24424594056373","277.4853515625","0.8575761318206787","143.1890988817402","347.17863099764935","0.8570047616958618","105.39956086601308","346.30004882812506","0.1764075607061386","145.81873276654412","353.7357188537058","0.12861552834510803","110.59153837316177","348.8472565507467"
"3","0.842871338567313","0.9838038682937622","127.0095964818219","133.14277581409016","0.9711809158325195","135.05868949142157","128.32800130928513","0.9715211391448975","118.28720192504086","126.51058230779869","0.7572595477104187","141.9498059640523","135.65747826500277","0.8838751912117004","111.16925008935867","133.16688740147956","0.9940306544303894","157.05413219975492","169.74773035640212","0.9948644042015076","99.69963522518383","171.64893226285952","0.989578127861023","186.92245583129085","211.15850668037888","0.9786819219589233","74.2941383910335","204.75976454473178","0.9367954730987549","170.85461984272877","221.13632877316098","0.8896227478981018","87.79376659517975","187.64460470824116","0.993724524974823","152.74281620200165","273.3875808040653","0.9841926097869873","103.70773016237746","277.67208673257744","0.8520506024360657","143.35369434232027","347.42519142353433","0.8616071343421936","103.83477105034723","346.04810866634404","0.16450168192386627","146.01332720588235","354.0304700463219","0.1215222105383873","109.00695401858661","348.88170630530976"
"4","0.8437370688599699","0.983233630657196","125.92520520578023","134.02948430154177","0.9729049205780029","134.8861474928513","128.91065749446904","0.9696806073188782","117.20129474315769","127.51335211559736","0.7545955777168274","138.60105826184642","130.19088069949532","0.8731040954589844","110.68376129748775","133.5019217972207","0.9931274652481079","157.5406103196487","168.97006684699946","0.9949073195457458","99.10023009854984","170.93519362728154","0.9901956915855408","180.53506689133988","205.1552399491842","0.9795543551445007","67.76427823733661","203.6789399543695","0.9353975653648376","171.85856438929738","217.96396981298398","0.8957332968711853","77.04819623161765","190.8152946539685","0.9934418201446533","152.705157909518","273.0967833932522","0.9843696355819702","103.1601131663603","277.7604310702434","0.8612198829650879","142.43510327308007","347.31581426299783","0.8622733950614929","105.12745576746325","346.26708984375006","0.17505881190299988","145.3003408394608","353.7381818653208","0.12473209947347641","110.55478962418302","349.2978904521571"
"5","0.8367251219118342","0.98173588514328","127.05496195874184","133.57530982093473","0.9719908833503723","135.19515293096407","129.183824927406","0.9679369330406189","120.90478834763073","124.03259007276688","0.7753820419311523","138.5895054636438","130.67269924467644","0.871960461139679","110.85211460886438","133.70731590068448","0.9931939840316772","156.97021484375","169.44704849108132","0.9954265356063843","99.91297902624592","171.73727660052546","0.988623857498169","184.00706571691177","205.83789926714604","0.980670690536499","67.50943053002452","203.47909572905147","0.9221349954605103","171.31422653696896","218.7248945658186","0.8665961027145386","77.57594688265932","188.8003567045769","0.9921584129333496","153.23846954146242","275.6744870886339","0.9849511981010437","107.833882250817","278.72314453125","0.8372131586074829","142.3282079758987","347.88639034845136","0.8335413932800293","105.14667585784315","347.25705847276","0.14781339466571808","141.4535941329657","351.0119520879425","0.1129971444606781","110.50216375612746","349.1608692270465"
"6","0.8358963412397048","0.981959879398346","125.28942631740196","133.43346789874863","0.9705057144165039","133.56980666615604","128.33769941751936","0.9674900770187378","116.84573503880719","126.2890084865874","0.7713838815689087","141.19617736417484","135.91190574443448","0.8591329455375671","109.99481400633171","133.2166661625415","0.9935368895530701","157.43400224673204","169.609850318031","0.9952706694602966","100.07674472783906","171.91202079300334","0.9892510175704956","186.33959801368465","210.55920086075776","0.9806500673294067","69.07767501531863","203.45135444033465","0.9282601475715637","172.7572731566585","221.7627925366427","0.8833019733428955","79.3448334737541","193.23907632743365","0.9922181367874146","157.89242813010623","276.77043003318585","0.9852564930915833","103.96550596149919","278.377415479812","0.8338844180107117","146.76500906352126","346.69477884748346","0.8338449001312256","106.1212038526348","347.1200696556969","0.14324188232421875","141.9785124336193","352.2270270153485","0.10104870796203613","111.02416194342321","350.12818463080754"
"7","0.8380430134780267","0.9823060035705566","128.00561044730392","133.29012710436257","0.9718627333641052","134.43100873161765","128.41385832930035","0.9689863920211792","120.76471864787582","123.25551801023231","0.7569668889045715","141.66985804738562","135.80655528380808","0.8851520419120789","111.02156894658906","133.031057172117","0.9937167167663574","157.49438316993465","169.11013442858132","0.9950729012489319","99.36816246680965","171.44221753145743","0.9889249205589294","182.82387727226308","206.03255820485344","0.9769565463066101","72.51898073682598","202.61598840224005","0.9418743252754211","173.1894499336193","220.53007142733685","0.8763028383255005","80.32718035130719","195.85144042968753","0.9926286339759827","153.542560253268","274.08720573492815","0.9837988018989563","103.60637191074348","278.64131421114496","0.8429641723632812","147.39276960784315","345.0808904867257","0.8415605425834656","107.2693110447304","345.99800582480646","0.14365491271018982","142.11199193218954","352.09499662956307","0.10400185734033585","112.23744510825163","349.99738575082966"
"8","0.8396477651070146","0.9828150272369385","128.34877163756127","132.57496251469166","0.9720197319984436","135.88367736417484","128.40114627264242","0.9699543118476868","119.50374029820262","125.70907457739906","0.7475525140762329","142.43679470486111","135.52963661936533","0.890116274356842","110.96512140012256","133.08681521795492","0.9933798313140869","156.91379123263889","169.16833928201052","0.9952294826507568","98.83109298406863","170.9047948786643","0.9906861186027527","186.57477085886438","209.09320662506914","0.9750844240188599","69.2166596456291","200.29411383434737","0.9329031109809875","173.54026245915034","219.5619620264104","0.8714933395385742","80.95425474877452","194.16550897918972","0.993019163608551","157.76395909926472","275.9025425193584","0.9846100807189941","103.15805472579657","277.74714377074116","0.8609932065010071","147.7328590941585","343.8023930102323","0.8443415760993958","109.02056525735294","344.2315727841538","0.1594836413860321","144.67020271650327","354.0010435391317","0.11033017188310623","112.6154003267974","349.2724825428651"
"9","0.8319611084811828","0.9837853908538818","128.27357472937092","132.92974961542453","0.9715166091918945","136.82456022773692","129.0356148238731","0.9704956412315369","119.93465647977942","126.33665641852186","0.7532082200050354","138.92600464665034","129.48261902395603","0.8847635388374329","110.42012133629494","134.12435075878042","0.9926275610923767","156.23190487132354","169.8395747632052","0.9955644607543945","99.06601849724265","170.3637425245437","0.9896988272666931","186.53221379697715","209.10814673499726","0.9782932996749878","72.07679898131128","201.1114123859237","0.9408115744590759","175.3339141646242","219.07136900235068","0.817027747631073","84.64044309129902","196.59693895188056","0.9923012256622314","158.32417407066995","277.70157805586285","0.9863570928573608","110.14730615553513","279.85538448907636","0.8186843991279602","143.7531435100082","348.54932936946904","0.8178027868270874","107.53808912888073","347.4313489525719","0.1479777842760086","146.19678372651146","354.1258793383573","0.10242268443107605","111.75930447048611","349.3327615113385"
